,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Nov,Dec
Boats length < 24 meters,60,141,147,56,132,87,41,93,26,64,82
Boats length >= 24 meters,20,18,16,23,20,5,14,22,19,30,18
