,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Nov,Dec
Boats length < 24 meters,26,42,42,43,35,54,66,62,56,35,60
Boats length >= 24 meters,1,0,0,0,0,0,0,1,0,2,2
